id,title,url,description,video_count,duree_totale,modules_associes,year_started,last_modified,vues,langue
PLTuHP93TC8cyiFERpbYQ_0ss9rH7VICS0,Algèbre 2 — Révision,https://www.youtube.com/playlist?list=PLTuHP93TC8cyiFERpbYQ_0ss9rH7VICS0,"Série de capsules de révision pour le module Algèbre 2 (LMAD, L1). Corrections détaillées de 5 exercices type-examen couvrant : applications linéaires, déterminants, systèmes d'équations linéaires avec paramètres. Les vidéos servent de support asynchrone aux séances de TD : l'étudiant peut revoir une correction à son rythme avant ou après la séance.",7,~39 min,Algèbre 2,2020,2020-10-09,81,FR
PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,Séries Temporelles — Méthodologie SARIMA (exemple complet),https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,"Étude de cas SARIMA pas-à-pas (5 capsules de la vidéo 4 à la vidéo 8) : recherche du modèle, validation, analyse des résidus, prédiction, écriture finale du modèle. Référencée comme support en BA (cours Hands-on Machine), GAMMA et Programmation Python 2 — illustre la démarche complète sur un jeu de données réel sous R.",5,~39 min,Séries Temporelles · Programmation Python 2,2020,2020-06-15,146,FR
